,Unnamed: 0,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot
0,37,Ryan Suter,8470600,D,39,82,2.0,15.0,7.0,6.0,19.471341463414635,0.1829268292682926,0.1585365853658536,0.024390243902439,250.0,0.8769882,72.0,0.039405998,4.0,0.18439347,16.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8470600.png
1,62,Brent Burns,8470613,D,39,82,6.0,29.0,10.0,13.0,20.955691056910567,0.3536585365853658,0.2804878048780488,0.073170731707317,266.0,0.8966944,74.0,0.087495424,8.0,0.32185093,27.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8470613.png
2,70,Corey Perry,8470621,R,39,81,19.0,30.0,6.0,5.0,11.937037037037037,0.3703703703703703,0.1358024691358024,0.2345679012345679,259.0,0.8056373,67.0,0.15764628,13.0,0.17431301,15.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8470621.png
3,102,Alex Ovechkin,8471214,L,39,65,44.0,73.0,19.0,10.0,17.724358974358974,1.123076923076923,0.4461538461538462,0.676923076923077,286.0,0.8339253,69.0,0.4910996,41.0,0.43328878,36.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png
4,108,Evgeni Malkin,8471215,C,38,68,16.0,50.0,22.0,12.0,17.785539215686274,0.7352941176470589,0.5,0.2352941176470588,242.0,0.8192357,68.0,0.2858269,24.0,0.40919688,34.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471215.png
5,151,Sidney Crosby,8471675,C,37,80,33.0,91.0,33.0,25.0,20.374583333333334,1.1375,0.725,0.4125,242.0,0.90173197,74.0,0.41288054,34.0,0.6745537,56.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471675.png
6,159,Jack Johnson,8471677,D,37,41,0.0,6.0,2.0,4.0,12.873170731707315,0.1463414634146341,0.1463414634146341,0.0,267.0,0.6146565,51.0,0.02770729,3.0,0.076009795,7.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8471677.png
7,165,Anze Kopitar,8471685,C,37,81,21.0,67.0,29.0,17.0,18.95576131687243,0.8271604938271605,0.5679012345679012,0.2592592592592592,249.0,0.9154132,76.0,0.27480987,23.0,0.4752845,39.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8471685.png
8,190,Marc-Edouard Vlasic,8471709,D,37,27,1.0,3.0,1.0,1.0,14.625308641975309,0.1111111111111111,0.074074074074074,0.037037037037037,208.0,0.49819207,41.0,0.02860727,3.0,0.12032978,10.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8471709.png
9,197,Kris Letang,8471724,D,37,74,9.0,30.0,8.0,13.0,23.525450450450453,0.4054054054054054,0.2837837837837837,0.1216216216216216,242.0,0.8482882,70.0,0.10365907,9.0,0.3354337,28.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471724.png
