,name,playerId,position,age,games_played,goals,points,pAssists,sAssists,icetime_per_game,ppg,apg,gpg,goalsFor_team,Predicted Games Played Percentage,Predicted Games Played,Predicted Goals Scored Percentage,Predicted Goals Scored per 82 Games,Predicted Assists Percentage,Predicted Assists per 82 Games,headshot,Predicted Games Played Percentage LSTM,Predicted Goals Scored Percentage LSTM,Predicted Assists Percentage LSTM,Predicted Games Played Percentage GRU,Predicted Goals Scored Percentage GRU,Predicted Assists Percentage GRU,Predicted Games Played LSTM,Predicted Goals Scored per 82 Games LSTM,Predicted Assits per 82 Games LSTM,Predicted Games Played GRU,Predicted Goals Scored per 82 Games GRU,Predicted Assits per 82 Games GRU
0,Ryan Suter,8470600,D,39,82,2.0,15.0,7.0,6.0,19.471341463414635,0.1829268292682926,0.1585365853658536,0.024390243902439,250.0,0.87408495,72.0,0.030999986,3.0,0.18439347,16.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8470600.png,0.76214635,0.03117407,0.1355867,0.8026578,0.020858293,0.15453935,63.0,3.0,12.0,66.0,2.0,13.0
1,Brent Burns,8470613,D,39,82,6.0,29.0,10.0,13.0,20.955691056910567,0.3536585365853658,0.2804878048780488,0.073170731707317,266.0,0.8980595,74.0,0.07924406,7.0,0.32185093,27.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8470613.png,0.84381545,0.08508541,0.25506747,0.9035506,0.07591544,0.26504058,70.0,7.0,21.0,75.0,7.0,22.0
2,Corey Perry,8470621,R,39,81,19.0,30.0,6.0,5.0,11.937037037037037,0.3703703703703703,0.1358024691358024,0.2345679012345679,259.0,0.79237765,65.0,0.17537878,15.0,0.17431301,15.0,https://assets.nhle.com/mugs/nhl/20242025/EDM/8470621.png,0.20802917,0.14838026,0.09534224,0.5592157,0.13595062,0.15759987,18.0,13.0,8.0,46.0,12.0,13.0
3,Alex Ovechkin,8471214,L,39,65,44.0,73.0,19.0,10.0,17.724358974358974,1.123076923076923,0.4461538461538462,0.676923076923077,286.0,0.8350244,69.0,0.5135035,43.0,0.43328878,36.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,0.955131,0.49389002,0.35906765,0.8720689,0.50351566,0.3404308,79.0,41.0,30.0,72.0,42.0,28.0
4,Evgeni Malkin,8471215,C,38,68,16.0,50.0,22.0,12.0,17.785539215686274,0.7352941176470589,0.5,0.2352941176470588,242.0,0.84739697,70.0,0.2865503,24.0,0.40919688,34.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471215.png,0.88974667,0.20485114,0.3768871,0.90244067,0.17908601,0.40203518,73.0,17.0,31.0,75.0,15.0,33.0
5,Sidney Crosby,8471675,C,37,80,33.0,91.0,33.0,25.0,20.374583333333334,1.1375,0.725,0.4125,242.0,0.9118268,75.0,0.40634024,34.0,0.6745537,56.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471675.png,0.89763325,0.30160245,0.43529263,0.87359124,0.31308505,0.44153303,74.0,25.0,36.0,72.0,26.0,37.0
6,Jack Johnson,8471677,D,37,41,0.0,6.0,2.0,4.0,12.873170731707315,0.1463414634146341,0.1463414634146341,0.0,267.0,0.5126324,43.0,0.017884731,2.0,0.076009795,7.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8471677.png,0.49678463,0.030241137,0.105714254,0.5380079,0.020540422,0.09699691,41.0,3.0,9.0,45.0,2.0,8.0
7,Anze Kopitar,8471685,C,37,81,21.0,67.0,29.0,17.0,18.95576131687243,0.8271604938271605,0.5679012345679012,0.2592592592592592,249.0,0.91555357,76.0,0.27322233,23.0,0.4752845,39.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8471685.png,0.8592058,0.16744968,0.35527572,0.8871295,0.14752126,0.33251,71.0,14.0,30.0,73.0,13.0,28.0
8,Marc-Edouard Vlasic,8471709,D,37,27,1.0,3.0,1.0,1.0,14.625308641975309,0.1111111111111111,0.074074074074074,0.037037037037037,208.0,0.43274686,36.0,0.019973753,2.0,0.12032978,10.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8471709.png,0.4618407,0.042815138,0.11172367,0.47527876,0.027498892,0.090092935,38.0,4.0,10.0,39.0,3.0,8.0
9,Kris Letang,8471724,D,37,74,9.0,30.0,8.0,13.0,23.525450450450453,0.4054054054054054,0.2837837837837837,0.1216216216216216,242.0,0.85577756,71.0,0.08537615,8.0,0.3354337,28.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8471724.png,0.8649574,0.087143265,0.3193869,0.8425085,0.06329912,0.26499864,71.0,8.0,27.0,70.0,6.0,22.0
